ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS0692,0.071353,-0.153955,0.296662,0.263469,0.167287,0.359651,-0.014178,-0.199838,0.171483,0.161697,0.053749,0.269646
DMHDS0688,0.176496,0.199502,0.15349,0.073076,0.156084,-0.009931,0.137479,0.149557,0.125401,0.172243,0.202786,0.141699
DMHDS1030,0.090477,0.130752,0.050202,-0.082345,-0.066781,-0.09791,-0.030748,-0.042282,-0.019213,0.032226,0.035925,0.028528
DMHDS1160,-0.007784,-0.195619,0.180052,0.20217,0.040857,0.363483,-0.039195,-0.232492,0.154101,0.000247,-0.151747,0.152241
DMHDS0463,0.246852,0.23106,0.262645,0.218321,0.215995,0.220647,0.193142,0.211074,0.17521,0.237097,0.288201,0.185993
DMHDS0408,0.019079,-0.023527,0.061685,0.094823,0.059814,0.129832,0.031324,-0.052391,0.11504,0.086992,0.051857,0.122127
DMHDS0403,0.205174,0.199437,0.210911,-0.238438,0.036523,-0.5134,0.155113,0.22581,0.084416,-0.005784,0.142539,-0.154107
DMHDS0438,0.37651,0.290042,0.462978,0.258257,0.033126,0.483388,0.176178,-0.007781,0.360138,0.186137,-0.028832,0.401105
DMHDS1088,0.246858,0.129372,0.364344,0.671554,0.733409,0.6097,0.235023,0.205216,0.264831,0.574376,0.578916,0.569835
DMHDS0899,0.29526,0.307596,0.282924,0.055638,0.157758,-0.046483,0.19692,0.181287,0.212553,0.092465,0.148594,0.036335
DMHDS1187,0.02278,-0.036588,0.082149,0.24513,0.254982,0.235278,0.147673,0.05338,0.241966,0.164115,0.113864,0.214366
